key,label,alu_upper_100,alu_lower_100,alu_mean_100,has_alu_100,inv_alu_100,sine_upper_100,sine_lower_100,sine_mean_100,has_sine_100,inv_sine_100,alu_upper_250,alu_lower_250,alu_mean_250,has_alu_250,inv_alu_250,sine_upper_250,sine_lower_250,sine_mean_250,has_sine_250,inv_sine_250,alu_upper_500,alu_lower_500,alu_mean_500,has_alu_500,inv_alu_500,sine_upper_500,sine_lower_500,sine_mean_500,has_sine_500,inv_sine_500
chr2|95756130|95766281|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.26,0.0,0.13,1,0,0.26,0.0,0.13,1,0,0.61,0.0,0.305,1,0,0.61,0.0,0.305,1,0
chrY|7171977|7235474|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.258,0.129,1,0
chr1|165621214|165623588|+,LS,0.34,0.43,0.385,1,1,0.34,0.43,0.385,1,1,0.736,0.772,0.754,1,1,0.736,0.772,0.754,1,1,0.582,0.592,0.587,1,1,0.582,0.656,0.619,1,1
chr5|108133824|108233549|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|44838845|44839079|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|44838990|44839473|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.092,0.046,1,0,0.0,0.092,0.046,1,0,0.0,0.546,0.273,1,0,0.0,0.546,0.273,1,0
chr11|68660870|68664146|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr19|49502575|49506591|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.324,0.162,1,0,0.0,0.324,0.162,1,0,0.45,0.574,0.512,1,1,0.45,0.574,0.512,1,1
chr16|4379110|4382453|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.096,0.048,1,0
chr11|10787948|10793163|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.086,0.043,1,0,0.0,0.086,0.043,1,0
chr11|10777224|10788037|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr11|10774218|10781868|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr10|99917219|99919037|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|75091166|75092846|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|75093352|75094231|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|75091166|75093087|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.09,0.045,1,0
chr3|180675606|180680728|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr20|5540585|5559257|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.286,0.41,0.348,1,1,0.286,0.41,0.348,1,1
chr8|86127149|86129731|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr9|36344828|36369929|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr8|73146222|73150740|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr8|73117533|73146271|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr9|86357444|86363287|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr11|113186964|113239185|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr11|113186964|113235782|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr11|113194009|113239185|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|120381587|120382656|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|141105713|141132481|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|150752113|150753723|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|150752618|150752935|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.126,0.063,1,0
chr7|150752363|150753883|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr16|57093378|57103831|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.388,0.194,1,0,0.0,0.0,0.0,0,0,0.0,0.294,0.147,1,0
chr16|57074561|57103831|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.592,0.388,0.49,1,1,0.0,0.0,0.0,0,0,0.322,0.294,0.308,1,1
chr16|57063906|57080553|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr16|57080463|57113045|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.48,0.0,0.24,1,0,0.0,0.0,0.0,0,0,0.328,0.03,0.179,1,1
chr7|101256941|101266352|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.324,0.162,1,0,0.0,0.32,0.16,1,0,0.0,0.532,0.266,1,0
chr20|44985212|44987597|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr22|40749076|40756496|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.064,0.032,1,0,0.0,0.064,0.032,1,0,0.254,0.532,0.393,1,1,0.254,0.532,0.393,1,1
chr11|102645918|102650092|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr11|102649354|102650092|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chrX|53423391|53436434|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.178,0.089,1,0,0.0,0.26,0.13,1,0
chrX|53407938|53441819|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chrX|53426510|53448990|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.334,0.0,0.167,1,0,0.334,0.0,0.167,1,0
chr7|129824023|129843686|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr7|129813664|129818367|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.048,0.024,1,0,0.0,0.048,0.024,1,0,0.046,0.524,0.285,1,1,0.046,0.524,0.285,1,1
chr19|35997027|35999142|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr19|35997027|35998413|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|69112589|69117159|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|69105929|69129304|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|69124580|69129304|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.318,0.0,0.159,1,0
chr3|58834757|58856035|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.406,0.203,1,0,0.0,0.406,0.203,1,0
chr3|58855053|58856035|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.406,0.203,1,0,0.196,0.406,0.301,1,1
chr3|58739495|58856035|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.084,0.0,0.042,1,0,0.0,0.406,0.203,1,0,0.426,0.406,0.416,1,1
chr3|58834757|58853662|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.062,0.031,1,0
chr3|58849283|58856035|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.406,0.203,1,0,0.0,0.406,0.203,1,0
chr3|58817411|58853662|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.062,0.031,1,0
chr3|58849283|58853662|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.062,0.031,1,0
chr10|48941193|48949865|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.352,0.176,1,0
chr3|52658912|52718930|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|52658912|52715836|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|52661288|52713742|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|52715719|52718930|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|52661288|52716249|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.214,0.107,1,0
